record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1071838152","-138836160","1992047232","2.16","80","12.799999999999955","2.273","136","49","12.799999999999955","2.273",
"1071838153","-138836080","1992047360","4.71","83","12.799999999999955","2.749","147","63","12.799999999999955","2.749",
"1071838154","-138836000","1992047744","7.66","83","12.799999999999955","3.164","129","54","12.799999999999955","3.164",
"1071838155","-138835920","1992048128","11.0","83","12.799999999999955","3.509","135","54","12.799999999999955","3.509",
"1071838156","-138835840","1992048512","14.69","86","12.799999999999955","3.823","139","59","12.799999999999955","3.823",
"1071838157","-138835744","1992049024","18.64","91","12.799999999999955","4.144","166","59","12.799999999999955","4.144",
"1071838158","-138835616","1992049408","22.97","92","12.799999999999955","4.459","159","66","12.799999999999955","4.459",
"1071838159","-138835440","1992049920","27.58","92","12.799999999999955","4.751","156","66","12.799999999999955","4.751",
"1071838160","-138835280","1992050304","32.45","98","12.799999999999955","5.02","162","71","12.799999999999955","5.02",
"1071838161","-138835056","1992050816","37.6","98","13.0","5.272","161","71","13.0","5.272",
"1071838162","-138834816","1992051456","43.01","98","13.0","5.502","160","71","13.0","5.502",
"1071838163","-138834528","1992051968","48.6","98","12.799999999999955","5.718","158","75","12.799999999999955","5.718",
"1071838164","-138834224","1992052480","54.41","96","12.799999999999955","5.925","161","75","12.799999999999955","5.925",
"1071838165","-138833904","1992053120","60.46","95","12.799999999999955","6.123","161","78","12.799999999999955","6.123",
"1071838166","-138833552","1992053760","66.69","95","12.799999999999955","6.311","163","78","12.799999999999955","6.311",
"1071838167","-138833168","1992054272","73.05","95","12.799999999999955","6.49","164","80","12.799999999999955","6.49",
"1071838168","-138832752","1992054912","79.63","99","12.799999999999955","6.66","163","80","12.799999999999955","6.66",
"1071838169","-138832304","1992055424","86.35","102","12.799999999999955","6.812","159","81","12.799999999999955","6.812",
"1071838170","-138831840","1992055936","93.23","105","12.799999999999955","6.953","161","81","12.799999999999955","6.953",
"1071838171","-138831328","1992056576","100.28","106","12.799999999999955","7.085","162","81","12.799999999999955","7.085",
"1071838172","-138830768","1992057088","107.46","109","12.799999999999955","7.221","161","81","12.799999999999955","7.221",
"1071838173","-138830176","1992057600","114.75","109","12.799999999999955","7.348","162","80","12.799999999999955","7.348",
"1071838174","-138829536","1992058112","122.13","110","12.799999999999955","7.458","163","80","12.799999999999955","7.458",
"1071838175","-138828816","1992058496","129.68","110","12.799999999999955","7.556","165","81","12.799999999999955","7.556",
"1071838176","-138828064","1992058880","137.24","110","12.799999999999955","7.641","165","81","12.799999999999955","7.641",
"1071838177","-138827264","1992059008","144.96","111","12.799999999999955","7.717","162","83","12.799999999999955","7.717",
"1071838178","-138826464","1992059264","152.7","112","12.799999999999955","7.786","164","83","12.799999999999955","7.786",
"1071838179","-138825632","1992059392","160.5","112","12.799999999999955","7.852","163","82","12.799999999999955","7.852",
"1071838180","-138824800","1992059648","168.38","113","13.0","7.918","163","82","13.0","7.918",
"1071838181","-138823936","1992059776","176.41","113","13.0","7.989","162","81","13.0","7.989",
"1071838182","-138823088","1992059776","184.36","114","13.0","8.065","162","81","13.0","8.065",
"1071838183","-138822240","1992060032","192.47","115","13.0","8.146","164","82","13.0","8.146",
"1071838184","-138821392","1992060288","200.71","114","13.0","8.218","166","82","13.0","8.218",
"1071838185","-138820560","1992060672","208.91","114","13.0","8.311","165","82","13.0","8.311",
"1071838186","-138819808","1992061056","217.26","114","13.0","8.404","160","82","13.0","8.404",
"1071838187","-138819152","1992061824","225.69","114","13.0","8.513","167","83","13.0","8.513",
"1071838188","-138818544","1992062464","234.4","116","13.0","8.661","165","83","13.0","8.661",
"1071838189","-138818032","1992063232","243.13","117","13.0","8.751","166","84","13.0","8.751",
"1071838190","-138817584","1992064128","251.83","118","13.0","8.781","160","84","13.0","8.781",
"1071838191","-138817168","1992065024","260.67","119","13.0","8.781","162","83","13.0","8.781",
"1071838192","-138816816","1992065792","269.39","119","13.0","8.773","162","83","13.0","8.773",
"1071838193","-138816464","1992066688","278.17","121","13.0","8.768","163","82","13.0","8.768",
"1071838194","-138816112","1992067584","286.88","122","13.0","8.761","162","82","13.0","8.761",
"1071838195","-138815776","1992068480","295.71","122","13.0","8.756","161","82","13.0","8.756",
"1071838196","-138815424","1992069504","304.37","121","13.0","8.751","160","82","13.0","8.751",
"1071838197","-138815040","1992070400","313.25","121","13.0","8.747","161","81","13.0","8.747",
"1071838198","-138814688","1992071296","321.94","120","13.0","8.745","163","81","13.0","8.745",
"1071838199","-138814336","1992071936","330.7","119","13.0","8.747","163","81","13.0","8.747",
"1071838200","-138814000","1992072960","339.47","119","13.0","8.749","164","81","13.0","8.749",
"1071838201","-138813664","1992073856","348.14","119","13.0","8.762","164","82","13.0","8.762",
"1071838202","-138813360","1992074752","356.91","119","13.0","8.804","165","82","13.0","8.804",
"1071838203","-138813040","1992075648","365.84","120","13.0","8.858","167","82","13.0","8.858",
"1071838204","-138812752","1992076544","374.72","121","13.0","8.945","166","82","13.0","8.945",
"1071838205","-138812464","1992077440","383.68","122","13.0","8.986","165","83","13.0","8.986",
"1071838206","-138812144","1992078336","392.62","123","13.0","9.013","165","83","13.0","9.013",
"1071838207","-138811808","1992079488","401.64","125","13.0","9.036","167","83","13.0","9.036",
"1071838208","-138811456","1992080384","410.67","126","13.0","9.055","168","83","13.0","9.055",
"1071838209","-138811104","1992081280","419.84","126","13.0","9.064","164","84","13.0","9.064",
"1071838210","-138810800","1992082176","428.86","126","13.0","9.064","164","84","13.0","9.064",
"1071838211","-138810560","1992083072","437.87","127","13.0","9.058","163","83","13.0","9.058",
"1071838212","-138810432","1992083968","446.92","127","13.0","9.051","165","83","13.0","9.051",
"1071838213","-138810384","1992085120","456.03","127","13.0","9.048","163","83","13.0","9.048",
"1071838214","-138810432","1992086016","465.08","125","13.0","9.047","163","83","13.0","9.047",
"1071838215","-138810576","1992087040","474.14","124","13.0","9.054","162","83","13.0","9.054",
"1071838216","-138810800","1992088064","483.13","123","13.0","9.062","161","83","13.0","9.062",
"1071838217","-138811072","1992088960","492.29","122","13.0","9.047","161","82","13.0","9.047",
"1071838218","-138811344","1992089856","501.26","121","13.0","9.016","161","82","13.0","9.016",
"1071838219","-138811680","1992090752","510.28","121","13.0","8.979","157","82","13.0","8.979",
"1071838220","-138812016","1992091776","519.25","123","13.200000000000045","8.957","163","82","13.200000000000045","8.957",
"1071838221","-138812352","1992092800","528.22","123","13.200000000000045","8.932","162","82","13.200000000000045","8.932",
"1071838222","-138812688","1992093696","537.12","122","13.200000000000045","8.906","155","82","13.200000000000045","8.906",
"1071838223","-138812992","1992094592","545.94","121","13.200000000000045","8.88","157","81","13.200000000000045","8.88",
"1071838224","-138813296","1992095488","554.82","122","13.200000000000045","8.86","156","81","13.200000000000045","8.86",
"1071838225","-138813568","1992096384","563.75","124","13.200000000000045","8.861","200","81","13.200000000000045","8.861",
"1071838226","-138813776","1992097280","572.67","124","13.200000000000045","8.883","174","81","13.200000000000045","8.883",
"1071838227","-138813904","1992098176","581.41","127","13.399999999999977","8.867","170","83","13.399999999999977","8.867",
"1071838228","-138813936","1992099328","590.3","127","13.399999999999977","8.833","170","83","13.399999999999977","8.833",
"1071838229","-138813888","1992100224","599.11","127","13.399999999999977","8.8","170","85","13.399999999999977","8.8",
"1071838230","-138813712","1992101120","607.98","127","13.600000000000023","8.759","166","85","13.600000000000023","8.759",
"1071838231","-138813424","1992102016","616.7","126","13.600000000000023","8.696","161","85","13.600000000000023","8.696",
"1071838232","-138813072","1992102912","625.32","125","13.799999999999955","8.623","161","85","13.799999999999955","8.623",
"1071838233","-138812656","1992103680","633.87","124","14.0","8.556","160","83","14.0","8.556",
"1071838234","-138812208","1992104576","642.41","124","14.0","8.482","159","83","14.0","8.482",
"1071838235","-138811712","1992105344","650.82","124","14.200000000000045","8.414","161","80","14.200000000000045","8.414",
"1071838236","-138811216","1992105984","659.18","123","14.200000000000045","8.324","162","80","14.200000000000045","8.324",
"1071838237","-138810688","1992106752","667.48","123","14.399999999999977","8.262","163","81","14.399999999999977","8.262",
"1071838238","-138810176","1992107520","675.75","123","14.600000000000023","8.203","164","81","14.600000000000023","8.203",
"1071838239","-138809680","1992108160","683.92","122","14.600000000000023","8.125","166","83","14.600000000000023","8.125",
"1071838240","-138809136","1992108928","691.98","123","14.799999999999955","8.043","165","83","14.799999999999955","8.043",
"1071838241","-138808608","1992109696","700.05","123","15.0","7.967","165","84","15.0","7.967",
"1071838242","-138808112","1992110464","707.96","124","15.0","7.901","164","84","15.0","7.901",
"1071838243","-138807632","1992111104","715.81","123","15.200000000000045","7.84","163","84","15.200000000000045","7.84",
"1071838244","-138807216","1992111872","723.57","123","15.399999999999977","7.785","164","84","15.399999999999977","7.785",
"1071838245","-138806848","1992112640","731.4","122","15.399999999999977","7.728","167","84","15.399999999999977","7.728",
"1071838246","-138806640","1992113280","739.06","122","15.600000000000023","7.665","167","84","15.600000000000023","7.665",
"1071838247","-138806560","1992114176","746.66","121","15.600000000000023","7.612","164","84","15.600000000000023","7.612",
"1071838248","-138806656","1992115072","754.33","121","15.799999999999955","7.571","162","84","15.799999999999955","7.571",
"1071838249","-138806896","1992115840","761.9","121","16.0","7.55","165","83","16.0","7.55",
"1071838250","-138807280","1992116608","769.38","121","16.0","7.553","166","83","16.0","7.553",
"1071838251","-138807808","1992117120","776.96","122","16.0","7.583","166","83","16.0","7.583",
"1071838252","-138808432","1992117632","784.58","122","16.200000000000045","7.629","165","83","16.200000000000045","7.629",
"1071838253","-138809104","1992118272","792.26","122","16.200000000000045","7.673","166","83","16.200000000000045","7.673",
"1071838254","-138809840","1992118656","800.04","123","16.200000000000045","7.707","166","83","16.200000000000045","7.707",
"1071838255","-138810624","1992118784","807.64","124","16.200000000000045","7.741","163","84","16.200000000000045","7.741",
"1071838256","-138811456","1992118912","815.39","124","16.200000000000045","7.791","164","84","16.200000000000045","7.791",
"1071838257","-138812288","1992118784","823.19","124","16.200000000000045","7.85","164","84","16.200000000000045","7.85",
"1071838258","-138813136","1992118656","831.1","123","16.200000000000045","7.912","163","84","16.200000000000045","7.912",
"1071838259","-138813984","1992118400","839.13","123","16.200000000000045","7.979","164","84","16.200000000000045","7.979",
"1071838260","-138814816","1992118272","847.03","123","16.200000000000045","8.044","164","84","16.200000000000045","8.044",
"1071838261","-138815664","1992118016","855.14","123","16.200000000000045","8.113","163","83","16.200000000000045","8.113",
"1071838262","-138816528","1992117888","863.28","123","16.200000000000045","8.184","164","83","16.200000000000045","8.184",
"1071838263","-138817408","1992117888","871.56","124","16.200000000000045","8.263","173","83","16.200000000000045","8.263",
"1071838264","-138818304","1992118016","879.84","124","16.200000000000045","8.347","171","85","16.200000000000045","8.347",
"1071838265","-138819104","1992118400","888.18","125","16.0","8.436","175","85","16.0","8.436",
"1071838266","-138819728","1992119168","896.71","126","16.0","8.523","170","86","16.0","8.523",
"1071838267","-138820160","1992119808","905.26","126","16.0","8.611","169","86","16.0","8.611",
"1071838268","-138820416","1992120832","913.96","125","16.0","8.702","171","85","16.0","8.702",
"1071838269","-138820592","1992121728","922.69","125","15.799999999999955","8.788","170","85","15.799999999999955","8.788",
"1071838270","-138820688","1992122752","931.56","125","15.799999999999955","8.868","172","85","15.799999999999955","8.868",
