record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1071651703","-139208928","1991703552","1.76","66","100.0","1.954","146","56","100.0","1.954",
"1071651704","-139209136","1991703552","3.97","67","100.0","2.422","120","62","100.0","2.422",
"1071651705","-139209424","1991703296","6.61","69","100.0","2.826","135","60","100.0","2.826",
"1071651706","-139209744","1991703296","9.59","76","100.0","3.166","137","60","100.0","3.166",
"1071651707","-139210096","1991703296","12.92","76","100.0","3.499","153","63","100.0","3.499",
"1071651708","-139210480","1991703168","16.62","81","100.20000000000005","3.819","156","63","100.20000000000005","3.819",
"1071651709","-139210896","1991703168","20.56","84","100.20000000000005","4.134","155","69","100.20000000000005","4.134",
"1071651710","-139211344","1991703040","24.87","87","100.20000000000005","4.445","158","69","100.20000000000005","4.445",
"1071651711","-139211840","1991702784","29.48","90","100.20000000000005","4.754","158","73","100.20000000000005","4.754",
"1071651712","-139212352","1991702784","34.39","91","100.20000000000005","5.055","156","73","100.20000000000005","5.055",
"1071651713","-139212896","1991702656","39.63","92","100.0","5.358","156","76","100.0","5.358",
"1071651714","-139213472","1991702400","45.07","94","100.0","5.656","155","76","100.0","5.656",
"1071651715","-139214080","1991702400","50.88","94","100.0","5.988","159","76","100.0","5.988",
"1071651716","-139214720","1991702272","57.06","93","99.79999999999995","6.343","162","79","99.79999999999995","6.343",
"1071651717","-139215424","1991702016","63.64","93","99.79999999999995","6.7","157","79","99.79999999999995","6.7",
"1071651718","-139216176","1991701888","70.61","94","99.60000000000002","7.164","157","81","99.60000000000002","7.164",
"1071651719","-139216944","1991701888","77.88","93","99.39999999999998","7.5","157","81","99.39999999999998","7.5",
"1071651720","-139217760","1991701760","85.6","93","99.20000000000005","7.845","158","80","99.20000000000005","7.845",
"1071651721","-139218608","1991701504","93.57","96","99.0","8.186","159","80","99.0","8.186",
"1071651722","-139219488","1991701376","101.97","97","98.79999999999995","8.535","161","79","98.79999999999995","8.535",
"1071651723","-139220416","1991701120","110.66","97","98.60000000000002","8.873","156","79","98.60000000000002","8.873",
"1071651724","-139221376","1991700992","119.79","99","98.39999999999998","9.208","161","81","98.39999999999998","9.208",
"1071651725","-139222368","1991700864","129.06","102","98.0","9.52","159","81","98.0","9.52",
"1071651726","-139223392","1991700608","138.7","103","97.79999999999995","9.819","161","81","97.79999999999995","9.819",
"1071651727","-139224464","1991700480","148.73","103","97.39999999999998","10.113","164","81","97.39999999999998","10.113",
"1071651728","-139225552","1991700224","159.02","106","97.20000000000005","10.398","159","81","97.20000000000005","10.398",
"1071651729","-139226688","1991700224","169.49","106","96.79999999999995","10.669","162","81","96.79999999999995","10.669",
"1071651730","-139227840","1991700096","180.27","107","96.39999999999998","10.935","161","81","96.39999999999998","10.935",
"1071651731","-139229024","1991699840","191.35","109","96.20000000000005","11.195","161","81","96.20000000000005","11.195",
"1071651732","-139230256","1991699840","202.79","109","95.79999999999995","11.452","162","81","95.79999999999995","11.452",
"1071651733","-139231504","1991699712","214.38","109","95.39999999999998","11.7","161","81","95.39999999999998","11.7",
"1071651734","-139232768","1991699712","226.19","110","95.0","11.942","162","81","95.0","11.942",
"1071651735","-139234080","1991699712","238.27","110","94.60000000000002","12.178","159","81","94.60000000000002","12.178",
"1071651736","-139235392","1991699712","250.49","109","94.20000000000005","12.403","156","81","94.20000000000005","12.403",
"1071651737","-139236736","1991699712","262.92","108","93.79999999999995","12.625","158","81","93.79999999999995","12.625",
"1071651738","-139238112","1991699840","275.83","108","93.39999999999998","12.845","155","80","93.39999999999998","12.845",
"1071651739","-139239488","1991700096","288.63","107","93.0","13.029","158","80","93.0","13.029",
"1071651740","-139240896","1991700224","301.75","106","92.60000000000002","13.213","160","79","92.60000000000002","13.213",
"1071651741","-139242304","1991700480","315.11","106","92.20000000000005","13.426","161","79","92.20000000000005","13.426",
"1071651742","-139243712","1991700864","328.66","107","91.79999999999995","13.55","159","81","91.79999999999995","13.55",
"1071651743","-139245120","1991701376","342.2","107","91.39999999999998","13.558","159","81","91.39999999999998","13.558",
"1071651744","-139246512","1991701760","355.63","104","91.0","13.517","159","82","91.0","13.517",
"1071651745","-139247872","1991702272","369.12","106","90.79999999999995","13.472","158","82","90.79999999999995","13.472",
"1071651746","-139249216","1991702784","382.7","106","90.39999999999998","13.427","160","82","90.39999999999998","13.427",
"1071651747","-139250544","1991703296","395.98","106","90.0","13.384","160","82","90.0","13.384",
"1071651748","-139251872","1991703936","409.34","106","89.60000000000002","13.342","160","82","89.60000000000002","13.342",
"1071651749","-139253184","1991704448","422.69","107","89.39999999999998","13.303","162","82","89.39999999999998","13.303",
"1071651750","-139254496","1991705216","436.09","109","89.0","13.265","163","82","89.0","13.265",
"1071651751","-139255792","1991705728","449.33","109","88.60000000000002","13.231","161","82","88.60000000000002","13.231",
"1071651752","-139257072","1991706240","462.41","110","88.20000000000005","13.2","162","82","88.20000000000005","13.2",
"1071651753","-139258352","1991707008","475.6","111","88.0","13.17","162","82","88.0","13.17",
"1071651754","-139259648","1991707520","488.81","111","87.60000000000002","13.148","161","83","87.60000000000002","13.148",
"1071651755","-139260928","1991708288","501.96","111","87.20000000000005","13.136","160","83","87.20000000000005","13.136",
"1071651756","-139262208","1991708800","515.04","111","86.79999999999995","13.141","161","82","86.79999999999995","13.141",
"1071651757","-139263504","1991709312","528.29","111","86.39999999999998","13.157","160","82","86.39999999999998","13.157",
"1071651758","-139264784","1991710080","541.44","110","86.20000000000005","13.192","169","81","86.20000000000005","13.192",
"1071651759","-139266080","1991710592","554.59","112","85.79999999999995","13.243","167","81","85.79999999999995","13.243",
"1071651760","-139267376","1991711232","567.85","113","85.39999999999998","13.316","169","83","85.39999999999998","13.316",
"1071651761","-139268720","1991711744","581.24","114","85.0","13.409","167","83","85.0","13.409",
"1071651762","-139270112","1991712256","594.89","114","84.60000000000002","13.53","164","85","84.60000000000002","13.53",
"1071651763","-139271520","1991712640","608.32","114","84.20000000000005","13.666","163","85","84.20000000000005","13.666",
"1071651764","-139272976","1991713024","622.22","114","83.60000000000002","13.838","162","84","83.60000000000002","13.838",
"1071651765","-139274432","1991713152","635.96","114","83.0","13.977","164","84","83.0","13.977",
"1071651766","-139275968","1991713408","650.19","114","82.39999999999998","14.031","160","83","82.39999999999998","14.031",
"1071651767","-139277456","1991713152","664.13","113","81.79999999999995","14.114","159","83","81.79999999999995","14.114",
"1071651768","-139278960","1991712768","678.28","114","81.20000000000005","14.223","159","83","81.20000000000005","14.223",
"1071651769","-139280432","1991712512","692.51","114","80.39999999999998","14.337","160","83","80.39999999999998","14.337",
"1071651770","-139281904","1991711872","706.97","113","79.79999999999995","14.433","159","82","79.79999999999995","14.433",
"1071651771","-139283408","1991711488","721.42","114","79.0","14.504","159","82","79.0","14.504",
"1071651772","-139284912","1991710976","736.04","113","78.39999999999998","14.588","160","82","78.39999999999998","14.588",
"1071651773","-139286304","1991710208","750.57","113","77.60000000000002","14.67","159","82","77.60000000000002","14.67",
"1071651774","-139287680","1991709568","765.25","113","77.0","14.737","160","81","77.0","14.737",
"1071651775","-139289072","1991708672","780.17","113","76.20000000000005","14.778","162","81","76.20000000000005","14.778",
"1071651776","-139290512","1991708032","794.98","112","75.60000000000002","14.78","162","82","75.60000000000002","14.78",
"1071651777","-139292032","1991707520","809.71","113","75.20000000000005","14.732","162","82","75.20000000000005","14.732",
"1071651778","-139293568","1991707136","824.3","113","74.79999999999995","14.637","162","83","74.79999999999995","14.637",
"1071651779","-139295120","1991707008","838.9","113","74.39999999999998","14.505","163","83","74.39999999999998","14.505",
"1071651780","-139296688","1991706752","853.38","115","74.0","14.36","162","83","74.0","14.36",
"1071651781","-139298208","1991706624","867.59","115","73.79999999999995","14.215","162","83","73.79999999999995","14.215",
"1071651782","-139299728","1991706624","881.8","115","73.39999999999998","14.086","164","83","73.39999999999998","14.086",
"1071651783","-139301232","1991706624","895.7","116","73.0","13.984","164","83","73.0","13.984",
"1071651784","-139302736","1991706624","909.71","115","72.60000000000002","13.881","164","84","72.60000000000002","13.881",
"1071651785","-139304208","1991707008","923.48","115","72.39999999999998","13.78","166","84","72.39999999999998","13.78",
"1071651786","-139305664","1991707136","937.28","114","72.0","13.694","163","84","72.0","13.694",
"1071651787","-139307136","1991707392","950.93","114","71.60000000000002","13.646","159","84","71.60000000000002","13.646",
"1071651788","-139308528","1991706752","964.67","114","71.20000000000005","13.677","160","83","71.20000000000005","13.677",
"1071651789","-139309552","1991705856","978.23","113","70.60000000000002","13.742","160","83","70.60000000000002","13.742",
"1071651790","-139310144","1991704448","992.22","113","70.0","13.801","162","82","70.0","13.801",
"1071651791","-139309984","1991703040","1005.82","113","69.60000000000002","13.843","162","82","69.60000000000002","13.843",
"1071651792","-139309440","1991701504","1019.67","113","69.20000000000005","13.793","162","82","69.20000000000005","13.793",
"1071651793","-139309056","1991700096","1033.56","114","68.79999999999995","13.738","165","82","68.79999999999995","13.738",
"1071651794","-139309488","1991698560","1047.32","114","68.39999999999998","13.702","164","83","68.39999999999998","13.702",
"1071651795","-139310432","1991697536","1060.81","116","68.0","13.566","157","83","68.0","13.566",
"1071651796","-139311744","1991697024","1074.28","117","67.79999999999995","13.36","165","84","67.79999999999995","13.36",
"1071651797","-139313136","1991697024","1087.51","118","67.39999999999998","13.178","161","84","67.39999999999998","13.178",
"1071651798","-139314416","1991697664","1100.65","118","67.20000000000005","12.968","163","84","67.20000000000005","12.968",
"1071651799","-139315632","1991698432","1113.56","118","67.0","12.756","162","84","67.0","12.756",
"1071651800","-139316832","1991698944","1126.29","119","66.79999999999995","12.567","161","84","66.79999999999995","12.567",
"1071651801","-139318112","1991699328","1138.72","120","66.39999999999998","12.419","161","84","66.39999999999998","12.419",
"1071651802","-139319456","1991699328","1151.17","122","66.20000000000005","12.303","161","83","66.20000000000005","12.303",
"1071651803","-139320752","1991699200","1163.32","117","65.79999999999995","12.181","161","83","65.79999999999995","12.181",
"1071651804","-139322000","1991698816","1175.38","115","65.60000000000002","12.06","164","83","65.60000000000002","12.06",
"1071651805","-139323232","1991698432","1187.44","115","65.39999999999998","11.943","162","83","65.39999999999998","11.943",
"1071651806","-139324448","1991697920","1199.35","115","65.0","11.833","161","83","65.0","11.833",
"1071651807","-139325632","1991697536","1211.17","113","64.79999999999995","11.74","163","83","64.79999999999995","11.74",
"1071651808","-139326768","1991697024","1222.82","113","64.60000000000002","11.723","161","83","64.60000000000002","11.723",
"1071651809","-139327872","1991696256","1234.56","115","64.20000000000005","11.741","161","83","64.20000000000005","11.741",
"1071651810","-139328752","1991695360","1246.25","114","63.799999999999955","11.828","162","82","63.799999999999955","11.828",
"1071651811","-139328992","1991694080","1258.16","114","63.39999999999998","11.948","161","82","63.39999999999998","11.948",
"1071651812","-139328560","1991692928","1270.2","114","63.0","11.998","166","82","63.0","11.998",
"1071651813","-139327792","1991691904","1282.19","115","62.799999999999955","12.056","164","82","62.799999999999955","12.056",
"1071651814","-139326736","1991691136","1294.42","115","62.39999999999998","12.103","165","83","62.39999999999998","12.103",
"1071651815","-139325504","1991690752","1306.33","115","62.200000000000045","12.115","165","83","62.200000000000045","12.115",
"1071651816","-139324192","1991690752","1318.46","114","62.0","12.055","165","84","62.0","12.055",
"1071651817","-139322896","1991690752","1330.51","116","62.0","11.973","164","84","62.0","11.973",
"1071651818","-139321616","1991690752","1342.46","116","61.799999999999955","11.887","164","84","61.799999999999955","11.887",
"1071651819","-139320336","1991690752","1354.24","117","61.60000000000002","11.81","163","84","61.60000000000002","11.81",
"1071651820","-139319056","1991690752","1366.11","116","61.39999999999998","11.727","160","84","61.39999999999998","11.727",
"1071651821","-139317840","1991690368","1377.84","116","61.200000000000045","11.71","159","84","61.200000000000045","11.71",
"1071651822","-139316880","1991689728","1389.5","115","61.0","11.646","159","83","61.0","11.646",
