record.timestamp[s],record.distance[m],record.heart_rate[bpm],record.temperature[C],record.enhanced_respiration_rate[Breaths/min],
"1071651697","0.0","69","19",,
"1071651698","0.0","69","19",,
"1071651699","0.0","69","19",,
"1071651700","0.0","68","19",,
"1071651701","0.0","68","19",,
"1071651702","0.0","68","19","12.99",
"1071651703","0.0","68","19","12.99",
"1071651704","0.0","68","19","12.99",
"1071651705","0.0","69","19","12.99",
"1071651706","0.0","69","19","12.99",
"1071651707","0.0","70","19","12.99",
"1071651708","0.0","71","19","12.99",
"1071651709","0.0","71","19","12.99",
"1071651710","0.0","71","19","12.99",
"1071651711","0.0","72","19","12.99",
"1071651712","0.0","73","19","12.99",
"1071651713","0.0","74","19","12.99",
"1071651714","0.0","76","19","13.39",
"1071651715","0.0","77","19","13.39",
"1071651716","0.0","79","19","13.39",
"1071651717","0.0","81","19","13.39",
"1071651718","0.0","81","19","13.39",
"1071651719","0.0","83","19","13.39",
"1071651720","0.0","87","19","13.39",
"1071651721","0.0","88","19","13.65",
"1071651722","0.0","88","19","13.65",
"1071651723","0.0","90","19","13.65",
"1071651724","0.0","92","19","13.65",
"1071651725","0.0","92","19","13.65",
"1071651726","0.0","92","19","13.65",
"1071651727","0.0","93","19","13.65",
"1071651728","0.0","94","19","20.14",
"1071651729","0.0","94","19","20.14",
"1071651730","0.0","94","19","20.14",
"1071651731","0.0","94","19","20.14",
"1071651732","0.0","94","19","20.14",
"1071651733","0.0","95","19","20.14",
"1071651734","0.0","95","19","20.14",
"1071651735","0.0","96","19","20.14",
"1071651736","0.0","97","19","21.3",
"1071651737","0.0","99","19","21.3",
"1071651738","0.0","100","19","21.3",
"1071651739","0.0","102","19","21.3",
"1071651740","0.0","104","19","21.3",
"1071651741","0.0","105","19","21.3",
"1071651742","0.0","106","19","21.3",
"1071651743","0.0","106","19","21.3",
"1071651744","0.0","106","19","21.3",
"1071651745","0.0","106","19","22.34",
"1071651746","0.0","106","19","22.34",
"1071651747","0.0","106","19","22.34",
"1071651748","0.0","106","19","22.34",
"1071651749","0.0","106","19","22.34",
"1071651750","0.0","107","19","22.34",
"1071651751","0.0","107","19","22.34",
"1071651752","0.0","107","19","23.57",
"1071651753","0.0","108","19","23.57",
"1071651754","0.0","108","19","23.57",
"1071651755","0.0","109","19","23.57",
"1071651756","0.0","109","19","23.57",
"1071651757","0.0","109","19","23.57",
"1071651758","0.0","110","19","23.57",
"1071651759","0.0","110","19","23.57",
"1071651760","0.0","111","19","23.57",
"1071651761","0.0","111","19","23.57",
"1071651762","0.0","111","19","23.57",
"1071651763","0.0","112","19","26.15",
"1071651764","0.0","112","19","26.15",
"1071651765","0.0","112","19","26.15",
"1071651766","0.0","113","19","26.15",
"1071651767","0.0","113","19","26.15",
"1071651768","0.0","113","19","26.15",
"1071651769","0.0","113","19","26.15",
"1071651770","0.0","113","19","26.15",
"1071651771","0.0","114","19","26.15",
"1071651772","0.0","114","19","26.6",
"1071651773","0.0","114","19","26.6",
"1071651774","0.0","113","19","26.6",
"1071651775","0.0","113","19","26.6",
